Date,MAIN_FILTER_IN_PRESSURE
01-01-2018,10.33828449
01-02-2018,9.580142975
01-03-2018,9.377434731
01-04-2018,9.697716713
01-05-2018,10.22071362
01-06-2018,9.49905777
01-07-2018,9.977459908
01-08-2018,9.417973518
01-09-2018,9.977459908
01-10-2018,9.940970421
01-11-2018,9.859886169
01-12-2018,10.500453
1/13/2018,9.977459908
1/14/2018,9.580142975
1/15/2018,10.01800251
1/16/2018,9.940970421
1/17/2018,9.458519936
1/18/2018,9.977459908
1/19/2018,9.819343567
1/20/2018,9.377434731
1/21/2018,10.65856934
1/22/2018,9.138234138
1/23/2018,10.29774189
1/24/2018,9.697716713
1/25/2018,10.05854416
1/26/2018,9.697716713
1/27/2018,10.33828449
1/28/2018,9.900428772
1/29/2018,10.29774189
1/30/2018,10.13962936
1/31/2018,9.738259315
02-01-2018,9.900428772
02-02-2018,9.859886169
02-03-2018,10.33828449
02-04-2018,10.45991135
02-05-2018,10.29774189
02-06-2018,9.940970421
02-07-2018,8.976064682
02-08-2018,10.5815382
02-09-2018,10.18017197
02-10-2018,9.977459908
02-11-2018,10.22071362
02-12-2018,10.73965454
2/13/2018,9.977459908
2/14/2018,9.859886169
2/15/2018,10.73965454
2/16/2018,9.738259315
2/17/2018,9.377434731
2/18/2018,10.29774189
2/19/2018,9.940970421
2/20/2018,9.697716713
2/21/2018,10.05854416
2/22/2018,10.01800251
2/23/2018,9.819343567
2/24/2018,9.900428772
2/25/2018,9.819343567
2/26/2018,9.539604187
2/27/2018,10.5815382
2/28/2018,9.138234138
03-01-2018,10.22071362
03-02-2018,9.819343567
03-03-2018,8.376039505
03-04-2018,9.859886169
03-05-2018,9.977459908
03-06-2018,9.940970421
03-07-2018,10.05854416
03-08-2018,9.738259315
03-09-2018,10.09908676
03-10-2018,9.900428772
03-11-2018,9.738259315
03-12-2018,10.13962936
3/13/2018,9.738259315
3/14/2018,9.697716713
3/15/2018,9.900428772
3/16/2018,9.417973518
3/17/2018,9.977459908
3/18/2018,9.49905777
3/19/2018,10.09908676
3/20/2018,9.859886169
3/21/2018,9.738259315
3/22/2018,9.900428772
3/23/2018,8.858490944
3/24/2018,10.41936874
3/25/2018,9.738259315
3/26/2018,9.65717411
3/27/2018,10.05854416
3/28/2018,9.859886169
3/29/2018,10.18017197
3/30/2018,10.05854416
3/31/2018,10.05854416
04-01-2018,9.819343567
04-02-2018,9.458519936
04-03-2018,9.778800964
04-04-2018,10.09908676
04-05-2018,10.13962936
04-06-2018,8.73686409
04-07-2018,9.738259315
04-08-2018,9.49905777
04-09-2018,10.05854416
04-10-2018,8.73686409
04-11-2018,10.18017197
04-12-2018,9.580142975
4/13/2018,9.336889267
4/14/2018,10.6220808
4/15/2018,9.539604187
4/16/2018,10.22071362
4/17/2018,9.900428772
4/18/2018,9.65717411
4/19/2018,10.29774189
4/20/2018,10.01800251
4/21/2018,8.935522079
4/22/2018,9.900428772
4/23/2018,10.6220808
4/24/2018,9.616632462
4/25/2018,9.697716713
4/26/2018,9.778800964
4/27/2018,9.458519936
4/28/2018,9.458519936
4/29/2018,8.976064682
4/30/2018,9.296350479
05-01-2018,10.01800251
05-02-2018,9.417973518
05-03-2018,9.65717411
05-04-2018,9.336889267
05-05-2018,9.49905777
05-06-2018,9.138234138
05-07-2018,9.377434731
05-08-2018,9.057148933
05-09-2018,9.738259315
05-10-2018,9.21931839
05-11-2018,9.819343567
05-12-2018,8.655778885
5/13/2018,9.49905777
5/14/2018,8.09629631
5/15/2018,9.336889267
5/16/2018,9.377434731
5/17/2018,9.336889267
5/18/2018,8.899032593
5/19/2018,9.580142975
5/20/2018,9.738259315
5/21/2018,9.377434731
5/22/2018,9.336889267
5/23/2018,7.536813736
5/24/2018,9.697716713
5/25/2018,8.899032593
5/26/2018,9.21931839
5/27/2018,8.858490944
5/28/2018,8.935522079
5/29/2018,9.377434731
5/30/2018,8.899032593
5/31/2018,9.21931839
06-01-2018,9.016607285
06-02-2018,9.016607285
06-03-2018,9.138234138
06-04-2018,9.057148933
06-05-2018,9.259860992
06-06-2018,8.615236282
06-07-2018,9.057148933
06-08-2018,8.416578293
06-09-2018,9.49905777
06-10-2018,8.935522079
06-11-2018,9.259860992
06-12-2018,8.976064682
6/13/2018,8.899032593
6/14/2018,8.538208961
6/15/2018,9.296350479
6/16/2018,8.578747749
6/17/2018,8.817948341
6/18/2018,9.21931839
6/19/2018,9.377434731
6/20/2018,9.296350479
6/21/2018,8.615236282
6/22/2018,9.138234138
6/23/2018,9.097691536
6/24/2018,8.538208961
6/25/2018,9.178776741
6/26/2018,8.817948341
6/27/2018,9.016607285
6/28/2018,8.655778885
6/29/2018,8.655778885
6/30/2018,8.655778885
07-01-2018,8.899032593
07-02-2018,8.696321487
07-03-2018,8.335496902
07-04-2018,8.136838913
07-05-2018,8.899032593
07-06-2018,8.817948341
07-07-2018,9.178776741
07-08-2018,8.858490944
07-09-2018,8.497662544
07-10-2018,8.899032593
07-11-2018,8.055753708
07-12-2018,8.858490944
7/13/2018,8.696321487
7/14/2018,8.858490944
7/15/2018,8.335496902
7/16/2018,8.615236282
7/17/2018,8.538208961
7/18/2018,9.377434731
7/19/2018,8.578747749
7/20/2018,9.138234138
7/21/2018,8.858490944
7/22/2018,8.858490944
7/23/2018,9.138234138
7/24/2018,9.016607285
7/25/2018,8.976064682
7/26/2018,9.016607285
7/27/2018,8.09629631
7/28/2018,8.817948341
7/29/2018,9.296350479
7/30/2018,9.21931839
7/31/2018,9.377434731
08-01-2018,9.016607285
08-02-2018,8.817948341
08-03-2018,8.696321487
08-04-2018,9.097691536
08-05-2018,9.417973518
08-06-2018,9.138234138
08-07-2018,8.899032593
08-08-2018,9.738259315
08-09-2018,9.138234138
08-10-2018,9.336889267
08-11-2018,8.858490944
08-12-2018,9.097691536
8/13/2018,9.138234138
8/14/2018,9.697716713
8/15/2018,9.296350479
8/16/2018,9.377434731
8/17/2018,7.816553116
8/18/2018,9.616632462
8/19/2018,9.336889267
8/20/2018,9.057148933
8/21/2018,9.65717411
8/22/2018,9.178776741
8/23/2018,9.539604187
8/24/2018,9.819343567
8/25/2018,9.539604187
8/26/2018,9.336889267
8/27/2018,9.138234138
8/28/2018,9.580142975
8/29/2018,9.21931839
8/30/2018,9.417973518
8/31/2018,8.696321487
09-01-2018,9.697716713
09-02-2018,9.580142975
09-03-2018,9.377434731
09-04-2018,9.377434731
09-05-2018,9.057148933
09-06-2018,9.49905777
09-07-2018,9.296350479
09-08-2018,9.259860992
09-09-2018,9.616632462
09-10-2018,9.539604187
09-11-2018,9.539604187
09-12-2018,10.18017197
9/13/2018,8.858490944
9/14/2018,9.738259315
9/15/2018,9.016607285
9/16/2018,9.977459908
9/17/2018,8.73686409
9/18/2018,9.697716713
9/19/2018,9.138234138
9/20/2018,10.05854416
9/21/2018,9.417973518
9/22/2018,9.580142975
9/23/2018,9.778800964
9/24/2018,9.458519936
9/25/2018,9.458519936
9/26/2018,9.819343567
9/27/2018,9.49905777
9/28/2018,8.858490944
9/29/2018,9.616632462
9/30/2018,10.33828449
10-01-2018,9.138234138
10-02-2018,9.49905777
10-03-2018,10.09908676
10-04-2018,9.697716713
10-05-2018,9.417973518
10-06-2018,9.580142975
10-07-2018,9.417973518
10-08-2018,9.697716713
10-09-2018,9.580142975
10-10-2018,9.697716713
10-11-2018,9.778800964
10-12-2018,8.976064682
10/13/2018,9.580142975
10/14/2018,9.580142975
10/15/2018,9.697716713
10/16/2018,9.616632462
10/17/2018,8.335496902
10/18/2018,9.859886169
10/19/2018,9.296350479
10/20/2018,9.819343567
10/21/2018,9.539604187
10/22/2018,8.578747749
10/23/2018,9.65717411
10/24/2018,10.01800251
10/25/2018,9.65717411
10/26/2018,9.057148933
10/27/2018,9.977459908
10/28/2018,8.538208961
10/29/2018,9.65717411
10/30/2018,9.377434731
10/31/2018,8.696321487
11-01-2018,9.458519936
11-02-2018,8.899032593
11-03-2018,10.05854416
11-04-2018,9.859886169
11-05-2018,9.940970421
11-06-2018,9.616632462
11-07-2018,9.057148933
11-08-2018,9.21931839
11-09-2018,9.940970421
11-10-2018,9.49905777
11-11-2018,9.778800964
11-12-2018,9.377434731
11/13/2018,9.819343567
11/14/2018,9.49905777
11/15/2018,9.49905777
11/16/2018,9.580142975
11/17/2018,9.859886169
11/18/2018,10.01800251
11/19/2018,9.057148933
11/20/2018,9.336889267
11/21/2018,9.778800964
11/22/2018,9.977459908
11/23/2018,8.294955254
11/24/2018,9.819343567
11/25/2018,9.458519936
11/26/2018,9.21931839
11/27/2018,9.259860992
11/28/2018,9.65717411
11/29/2018,9.138234138
11/30/2018,9.259860992
12-01-2018,9.016607285
12-02-2018,9.458519936
12-03-2018,9.65717411
12-04-2018,7.735468388
12-05-2018,9.539604187
12-06-2018,9.539604187
12-07-2018,9.057148933
12-08-2018,9.539604187
12-09-2018,8.497662544
12-10-2018,9.65717411
12-11-2018,9.49905777
12-12-2018,9.057148933
12/13/2018,9.296350479
12/14/2018,9.539604187
12/15/2018,9.016607285
12/16/2018,9.21931839
12/17/2018,9.417973518
12/18/2018,9.819343567
12/19/2018,8.976064682
12/20/2018,9.738259315
12/21/2018,9.138234138
12/22/2018,9.336889267
12/23/2018,9.417973518
12/24/2018,9.138234138
12/25/2018,9.016607285
12/26/2018,9.616632462
12/27/2018,10.05854416
12/28/2018,9.539604187
12/29/2018,9.417973518
12/30/2018,9.296350479
12/31/2018,8.294955254
01-01-2019,9.65717411
01-02-2019,9.738259315
01-03-2019,8.177380562
01-04-2019,9.65717411
01-05-2019,9.336889267
01-06-2019,9.336889267
01-07-2019,8.899032593
01-08-2019,9.65717411
01-09-2019,9.178776741
01-10-2019,9.21931839
01-11-2019,9.138234138
01-12-2019,9.778800964
1/13/2019,9.580142975
1/14/2019,8.73686409
1/15/2019,9.616632462
1/16/2019,9.580142975
1/17/2019,9.377434731
1/18/2019,9.458519936
1/19/2019,9.259860992
1/20/2019,9.738259315
1/21/2019,8.416578293
1/22/2019,9.697716713
1/23/2019,9.417973518
1/24/2019,9.178776741
1/25/2019,9.21931839
1/26/2019,9.138234138
1/27/2019,9.580142975
1/28/2019,9.900428772
1/29/2019,9.296350479
1/30/2019,9.65717411
1/31/2019,8.538208961
02-01-2019,9.65717411
02-02-2019,9.697716713
02-03-2019,10.05854416
02-04-2019,10.09908676
02-05-2019,9.738259315
02-06-2019,8.935522079
02-07-2019,9.977459908
02-08-2019,9.65717411
02-09-2019,9.21931839
02-10-2019,9.336889267
02-11-2019,9.296350479
02-12-2019,9.580142975
2/13/2019,9.778800964
2/14/2019,9.178776741
2/15/2019,8.73686409
2/16/2019,9.778800964
2/17/2019,9.417973518
2/18/2019,8.73686409
2/19/2019,9.616632462
2/20/2019,9.296350479
2/21/2019,9.097691536
2/22/2019,9.458519936
2/23/2019,8.899032593
2/24/2019,9.016607285
2/25/2019,9.016607285
2/26/2019,9.178776741
2/27/2019,8.935522079
2/28/2019,8.976064682
03-01-2019,8.976064682
03-02-2019,9.138234138
03-03-2019,9.057148933
03-04-2019,8.817948341
03-05-2019,9.016607285
03-06-2019,8.294955254
03-07-2019,8.177380562
03-08-2019,8.615236282
03-09-2019,8.73686409
03-10-2019,8.73686409
03-11-2019,9.259860992
03-12-2019,7.694926262
3/13/2019,8.935522079
3/14/2019,8.858490944
3/15/2019,7.613841534
3/16/2019,9.377434731
3/17/2019,9.016607285
3/18/2019,8.935522079
3/19/2019,8.976064682
3/20/2019,8.45712471
3/21/2019,9.417973518
3/22/2019,8.858490944
3/23/2019,8.935522079
3/24/2019,9.138234138
3/25/2019,9.057148933
3/26/2019,8.655778885
3/27/2019,8.73686409
3/28/2019,9.057148933
3/29/2019,7.857095242
3/30/2019,9.296350479
3/31/2019,8.335496902
04-01-2019,9.097691536
04-02-2019,8.335496902
04-03-2019,8.817948341
04-04-2019,8.777405739
04-05-2019,8.858490944
04-06-2019,8.45712471
04-07-2019,8.655778885
04-08-2019,8.817948341
04-09-2019,8.817948341
04-10-2019,7.934126854
04-11-2019,8.615236282
04-12-2019,7.897637844
4/13/2019,8.817948341
4/14/2019,8.777405739
4/15/2019,9.21931839
4/16/2019,8.615236282
4/17/2019,8.538208961
4/18/2019,9.377434731
4/19/2019,9.138234138
4/20/2019,9.21931839
4/21/2019,8.976064682
4/22/2019,9.138234138
4/23/2019,7.816553116
4/24/2019,9.057148933
4/25/2019,9.097691536
4/26/2019,8.45712471
4/27/2019,9.21931839
4/28/2019,9.259860992
4/29/2019,9.097691536
4/30/2019,8.817948341
05-01-2019,8.976064682
05-02-2019,8.538208961
05-03-2019,9.21931839
05-04-2019,9.178776741
05-05-2019,9.697716713
05-06-2019,8.335496902
05-07-2019,9.580142975
05-08-2019,9.138234138
05-09-2019,9.097691536
05-10-2019,8.817948341
05-11-2019,9.539604187
05-12-2019,9.616632462
5/13/2019,9.65717411
5/14/2019,9.458519936
5/15/2019,9.859886169
5/16/2019,9.458519936
5/17/2019,9.377434731
5/18/2019,9.296350479
5/19/2019,9.580142975
5/20/2019,9.259860992
5/21/2019,9.49905777
5/22/2019,9.65717411
5/23/2019,9.057148933
5/24/2019,9.697716713
5/25/2019,9.178776741
5/26/2019,9.138234138
5/27/2019,9.296350479
5/28/2019,9.859886169
5/29/2019,9.977459908
5/30/2019,9.940970421
5/31/2019,9.697716713
06-01-2019,9.65717411
06-02-2019,10.18017197
06-03-2019,9.49905777
06-04-2019,9.377434731
06-05-2019,9.859886169
06-06-2019,9.097691536
06-07-2019,9.580142975
06-08-2019,10.29774189
06-09-2019,9.539604187
06-10-2019,9.296350479
06-11-2019,9.859886169
06-12-2019,9.940970421
6/13/2019,9.859886169
6/14/2019,10.05854416
6/15/2019,9.296350479
6/16/2019,9.738259315
6/17/2019,9.616632462
6/18/2019,9.900428772
6/19/2019,10.37882614
6/20/2019,9.65717411
6/21/2019,10.01800251
6/22/2019,9.977459908
6/23/2019,10.26125622
6/24/2019,9.940970421
6/25/2019,10.05854416
6/26/2019,9.21931839
6/27/2019,10.18017197
6/28/2019,9.458519936
6/29/2019,9.900428772
